Material,Substitutions,Tc (K),Pressure (GPa),Classes,Shape,Substrate,DOI
Sm Ba 2 Cu 2.7 Ni 0.3 O 6.97,{},24.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Cu Te 2,{},1.3,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ba Pb 0.83 Bi 0.17 O 3,{},7.6,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Bi 0.6 Pb 0.2 S 0.2 Sr 2 Ca 0.7 Nd 0.3 Cu 2 O 6.95,{},80.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ba Ti 2 Sb 1.7 Sn 0.3 O,{},2.2,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Hg Ba 2 Cu O 4.37,{},37.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ca 10 Pt 3.97 Fe 9.03 As 18,{},10.75,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Cu Mo 6 Se 8,{},5.9,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Lu 1.94 Dy 0.06 Fe 3 Si 5,{},4.52,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ba 0.6 K 0.4 Bi 0.969 Pr 0.031 O 3,{},18.4,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Zr 0.87 Hf 0.13 V 2,{},9.45,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Tl Sr 1.9 Cr 0.1 Cu O 5,{},37.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Mg C Ni 2.8 Co 0.2,{},7.2,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Nd 1.6 Pr 0.4 Ba 4 Cu 7 O 14.603,{},48.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ru Sr 2 Gd 0.82 Nd 0.18 Cu 2 O 8,{},21.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 1.87 Sr 0.13 Cu 0.998 Zn 0.003 O 4,{},28.92,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Bi 0.8 Rh 0.2,{},2.7,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y 0.5 Pr 0.5 Sr 2 Cu 2.85 Re 0.15 O 7,{},26.2,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Al Ce 0.017 La 3,{},0.77,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La Ni As F 0.06 O 0.94,{},3.64,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Nb 0.36 Ti 0.64,{},9.05,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Cs Pb Bi 3 Te 6,{},2.7,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Hf 0.834 W 0.166,{},2.79,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
V 75 Si 2.57 Ga 22.4,{},13.32,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y Ba 2 Cu 2.91 Zn 0.09 O 6.77,{},30.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Eu 1.5 Ce 0.5 Sr 2 Cu 2 Nb O 9.955,{},21.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Dy 0.9 Ca 0.1 Ba 2 Cu 2.7 Zn 0.3 O 6.72,{},21.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Tl 0.4 Rb 0.4 Fe 1.7 Se 2,{},31.35,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Nb 3 Rh 0.1 Au 0.9,{},10.8,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 0.7 Ti 0.3 Bi S 2 O,{},2.22,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Si 2 Th,{},2.862,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Tc 0.44 Th 0.56,{},5.3,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y 0.65 Dy 0.35 Ni 2 B 2 C,{},10.6,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
K 0.8 Fe 1.933 Mn 0.067 Se 2,{},32.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Al 0.999 Mn 0.001,{},0.596,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y Sr 2 Cu 3 O 7.5,{},62.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Hf 0.915 Mo 0.085,{},2.13,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 0.5 Dy 0.5 Ba Ca Cu 3 O 7,{},55.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y 0.78 Gd 0.22 Ni 2 B 2 C,{},7.02,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Cu Co 1.98 Ir 0.02 S 4,{},2.79,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y 0.9 Ca 0.1 C 2,{},3.15,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y Ba 2 Cu 3.96 Zn 0.06 O 8,{},50.1,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
In 0.6 Pb 0.4,{},6.28,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y 0.975 Ca 0.025 Ba 2 Cu 2.975 Al 0.025 O 6.89,{},94.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Sn 0.874 Ge 0.076 In 0.05 Te,{},1.64,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
V 0.6 Zr 0.4,{},8.3,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Eu Fe 2 As 1.68 P 0.32,{},22.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ba 0.6 K 0.4 Fe 2 As 2,{},35.66,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Dy Ba Sr Cu 3 O 6.6,{},14.85,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Os 0.084 Re 0.916,{},1.88,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ir Zr 3,{},2.13,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 1.5 Nd 0.5 Ca Ba 2 Cu 5 O 11.872,{},78.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La Ru 2.76 Co 0.24 Si 2,{},6.04,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Lu 0.65 Er 0.35 Ru B 2,{},6.94,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Sm 0.25 Fe 0.75 Se 0.85,{},9.2,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Nb 0.55 Ti 0.45,{},9.4,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 0.62 Dy 0.38 Fe As F 0.175 O 0.825,{},38.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Mg 0.9 Zn 0.1 C 0.98 Ni 3,{},4.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Tm 2 Ba 4 Cu 7 O 14.732,{},88.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Pd 0.02 Rh 0.31 Zr 0.67,{},9.85,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
In 0.005 Tl 0.995,{},2.418,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y Ba 2 Cu 3.92 Ga 0.08 O 8,{},74.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ba Ti 2 Sb 2 O,{},0.964,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Be 21 Ni 5,{},0.72,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Cs 0.32 O 3 W,{},1.12,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Bi 1.09 Ta Se 3.09,{},1.8,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ir 0.94 Se 2,{},6.24,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Hf Pd 2 In,{},2.86,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Dy Ba 2 Cu 2.98 Ni 0.02 O 6.72,{},83.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Eu 0.5 Sr 0.5 Ba 1.6 Pr 0.1 Cu 3 O 7.07,{},42.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y 0.85 K 0.15 Ba 2 Cu 3 O 6.48,{},90.15,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ca 1.8 Na 0.2 Cu Br 2 O 2,{},11.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Al Sb,{},2.8,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Sm Ba 2 Cu 3 O 6.86,{},91.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y 0.4 La 0.6 Ba 2 Cu 3 O 6.99,{},85.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ge 0.1 In 0.9,{},6.2,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ho 0.2 Dy 0.8 Ni 2 B 2 C,{},6.215,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ho Ba 2 Cu 3 O 7,{},92.475,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y Ba 2 Cu 2.64 Fe 0.36 O 7.12,{},32.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Tm 5 Rh 3.6 Co 2.4 Sn 18,{},1.57,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
In 0.98 Pb 0.02,{},3.45,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y Ba 1.87 La 0.13 Cu 4 O 8,{},61.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Sr Fe 1.8 Pt 0.2 As 2,{},15.8,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y Sr 1.2 Ba 0.8 Cu 2.5 B 0.5 O 7,{},35.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Dy Ba 2 Cu 2.95 Ga 0.05 O 6.69,{},83.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Be 13 U 0.976 Th 0.025,{},0.59,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
B 6 Y,{},5.692857143,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Tl 0.5 Bi 0.5 Sr 4 Cu 2 C O 10,{},53.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Nb 0.75 Sn 0.125 Zr 0.125,{},16.7,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Tl Sr 2 Ca Cu 2 O 6.862,{},15.2,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Er 0.75 Ca 0.25 Ba 2 Cu 3 O 6.88,{},67.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Sn 0.9 Ag 0.07 Te,{},1.73,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y 0.16 Lu 0.84 Ni 2 B 2 C,{},15.2,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ta Ir Si,{},0.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Nb 3 Al 0.967 Se 0.033,{},18.1,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Mo 0.9 V 0.1 C,{},13.3,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Lu 2 Ir 3 Si 4.98 Ge 0.02,{},6.32,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Bi 2 S 2 F 0.1 O 0.9,{},3.675,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Bi Ru,{},3.273333333,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Gd 0.02 In La 2.98,{},7.9,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
S 3 Sn Ta,{},2.96,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Eu 0.015 La 0.985,{},1.58,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y Ba 2 Cu 2.7 Al 0.3 O 6.99,{},73.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Er Ba 2 Cu 3 O 6.78,{},78.2,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y 2 Cl 2 C 2,{},2.3,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ca 1.75 Na 0.25 Cu Br 2 O 2,{},18.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 2.1 Yb 0.2 Ba 2.1 Ca 0.4 Cu 5 O 11.802,{},47.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Pb 1.12 Nb 2 Se 5.12,{},2.9,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Cu S Se,{},1.625,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Yb Ca 0.2 Ba 1.6 Sr 0.4 Cu 4 O 8,{},86.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Pr 0.91 La Ce 0.09 Cu O 4,{},24.6,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Sm 0.8 Pr 0.2 Ba 2 Cu 3 O 6.95,{},39.65,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 3 In 0.9 Cd 0.1,{},9.55,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Pb 0.6 Cu 0.4 Sr 0.8 La 1.2 Cu O 5.11,{},34.8,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Mo 0.5 Rh 0.5,{},1.91,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Tm 0.84 Lu 0.16 Fe 3 Si 5,{},2.44,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Rb Fe 2 As 2,{},1.983333333,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Dy Ba 1.2 Sr 0.8 Cu 3 O 6.9,{},84.7,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
K 0.6 Zr N Cl,{},14.4,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Bi 1.95 La 0.05 Sr Cu O Y,{},20.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
N 0.78 Nb,{},10.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Nd 1.75 Y 0.1 Ce 0.15 Cu O 4,{},21.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Tm 0.95 Ca 0.05 Ba 2 Cu 4 O 8,{},84.8,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Pb 0.35 Tl 0.65,{},3.8,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ca 8.77 Nd 1.23 Pt 3 Fe 10 As 18,{},28.4,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ni 18 Zr 82,{},2.98,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 1.7 Ba 0.3 Cu 0.99 Zn 0.01 O 4,{},5.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y 2.5 Dy 2.5 Os 4 Ge 10,{},3.8,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Sm 0.89 Th 0.11 Fe As O,{},48.9,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Tc 0.75 V 0.25,{},11.07,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Na 0.28 Hf N Cl,{},22.9,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Gd Ba 1.65 Pr 0.35 Cu 3 O 6.97,{},10.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ir 2 Sr,{},5.7,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Bi Pt Te,{},1.15,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y Ba 2.02 Cu 2.18 Zn 0.82 O 7,{},30.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
K 0.2 Fe 2 S 2,{},1.8,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
C Ta 0.4 Ti 0.6,{},4.8,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y 0.5 La 0.5 B 6,{},1.6,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Tl 0.8 V 0.2 Sr 4 Cu 2 C O 10,{},50.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 1.81 Sr 0.19 Cu 0.99 Ru 0.01 O 4,{},26.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Eu 1.25 La 0.6 Ce 0.15 Cu O 4,{},15.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Bi 2 Sr 1.3 Nd 0.7 Cu O 6.417,{},14.2,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Sn 0.504 Pb 0.336 In 0.16 Te,{},4.01,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 2 Cu O 4.093,{},45.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
K 0.05 Mo O 1.63,{},7.25,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Nd 1.35 Ba 1.65 Cu 3 O 7.02,{},35.9,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ir 0.98 Re 0.02,{},1.7,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ag 0.875 Ga 0.125,{},0.019,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Sr Pd 1.98 Pt 0.02 Ge 2,{},2.96,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Na 3 N C 60,{},14.7,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ba Pb 0.75 Bi 0.253,{},12.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Al Zr 3,{},0.73,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ba 0.45 K 0.55 Bi O 2.83,{},18.95,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Er 0.97 Tm 0.15 Rh 4 B 4,{},8.86,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Tb Fe As O 0.9,{},22.8,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ba Fe 1.904 Ni 0.096 As 2,{},20.05,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Nb 2.75 Ta 0.25 Sn,{},17.8,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
C Mo 0.9 Re 0.1,{},13.8,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Cu 0.081 Ti Se 2,{},4.17,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Er Ba 2 Cu 2.76 Zn 0.06 Fe 0.18 O 6.97,{},25.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Nb 3 Sn 0.65 Ga 0.35,{},16.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Sr 2 Cu C 0.93 B 0.07 O 5,{},23.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 0.987 Tb 0.013,{},1.38,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Sr 2 Nd 0.4 Ca 0.6 Cu 2 F O 5,{},75.1,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Os 0.028 Re 0.973,{},1.84,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ge 0.02 Nb 0.98,{},5.2,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Os 0.81 Re 0.19,{},0.73,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Sr 0.2 W Se 2,{},1.4,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Eu 0.5 Ca 0.5 Fe 2 As 2,{},24.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Tl 0.5 Pb 0.5 Sr 1.84 Nd 0.16 Ca Cu 2 O 7,{},102.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Nb 0.75 Al 0.23 Ge 0.02,{},19.2,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ca Fe 1.7 Co 0.3 As 2,{},10.8,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ru 0.8 Rh 0.2 Sr 2 Gd Cu 2 O 8,{},12.9,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Sr Fe 1.9 Pt 0.1 As 2,{},1.6,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y Ba 2 Cu 3.88 Ga 0.12 O 8,{},73.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y 0.55 Pr 0.45 Ba 2 Cu 3 O 6.8,{},23.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ba Cs Fe 4 As 4,{},26.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Lu Ni 0.9 V 0.1 B C,{},2.94,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Hf P 1.7 S 0.3,{},3.71,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 0.85 Sr 0.15 Fe As O,{},25.4,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ce Co In 4.86 Sn 0.14,{},0.556,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ca Fe 1.94 Ni 0.06 As 2,{},15.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Pd 2 Hf Al,{},3.583333333,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y Ba 2 Cu 2.3 Fe 0.7 O 7.484,{},60.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 0.6 Ce 0.4 Ru 2,{},0.727,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 0.99 Sm 0.01,{},4.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Al Sr 2 Ca 2 Cu 3 O 9.5,{},69.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 1.9 Er 0.1 Ba 2 Ca 0.2 Cu 4.2 O 9.85,{},18.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
S 1.2 Se 0.8 Ta,{},3.9,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Cs 2 Rb C 60,{},33.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y 2 Pd Si 2 C,{},2.2,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ta 0.025 Ti 0.975,{},1.3,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ce Fe As O 0.7,{},40.2,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Bi 4 Sr 3 Ca 2.4 Y 0.6 Cu 4 O Y,{},79.7,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y 0.45 Pr 0.55 Ba 2 Cu 3 O 6.98,{},10.1,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Bi 2 Sr 2 Ca 0.95 Ce 0.05 Cu 2 O 8,{},80.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ir Sn 4,{},0.93,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 0.951 Lu 0.049,{},4.37,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ba Pt 2 Sb 2,{},1.835,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 1.85 Sr 0.15 Cu Ni 0.037 O 4,{},6.1,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Mg 0.5 Al 0.5 B 2,{},12.9,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ca Fe 1.6 Co 0.4 As 2,{},2.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y 0.76 Ca 0.24 Ba 2 Cu 2.85 Co 0.15 O 6.8,{},86.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Er Ba 2 Cu 2.82 Zn 0.18 O 6.91,{},50.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Sm Fe As 0.77 P 0.23 H 0.11 O 0.89,{},28.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y 0.7 La 0.3 Ba 2 Cu 3 O 6.92,{},83.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Hg Ba 2 Ca 2 Cu 3 O 8.3,{},133.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y Ba 2 Cu 3 O 6.82,{},88.65,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Cr 0.026 V 0.974,{},3.66,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
