Material,Substitutions,Tc (K),Pressure (GPa),Classes,Shape,Substrate,DOI
Ba Fe 1.85 Co 0.15 As 2,{},25.0,0.0,"['Iron-pnictides', 'Pnictides']",single crystal,,10.1103/physrevb.82.174509
Ba Fe 1.85 Co 0.15 As 2,{},25.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.82.174509
Mg B 2,{},40.0,0.0,"['Alloys', 'Borides']",,,10.1088/0953-2048/14/5/102
V 3 Si,{},16.6,0.0,['Alloys'],single crystal,,10.1088/0953-2048/14/5/102
Hg Ba 2 Cu O 4+δ,{'δ': []},98.0,0.0,['Alloys'],,,10.1103/physrevb.96.235118
Hg Ba 2 Cu O 6,{},98.0,0.0,[],,,10.1103/physrevb.96.235118
Hg Ba 2 Cu O 4+δ,{'δ': []},98.0,0.0,['Alloys'],,,10.1103/physrevb.96.235118
Hg Ba 2 Cu O 6,{},98.0,0.0,[],,,10.1103/physrevb.96.235118
Tl 2 Ba 2 Cu O 6+δ,{'δ': []},85.0,0.0,['Alloys'],,,10.1103/physrevb.96.235118
C N Ts,{},2.6,0.0,"['Carbides', 'Nitrides']",,,nan
Hg Ba Ca Cu O,{},130.0,0.0,[],,,10.1088/1367-2630/16/1/013004
U Ge 2,{},1.0,1.0,['Alloys'],,,10.1016/j.physleta.2015.02.045
U Co Ge,{},3.0,0.0,['Alloys'],,,10.1016/j.physleta.2015.02.045
U Ru Ge,{},9.5,0.0,['Alloys'],,,10.1016/j.physleta.2015.02.045
Mg B 2,{},40.0,0.0,"['Alloys', 'Borides']",,,10.1103/physrevlett.87.087005
Sr 2 Cu O 4-x,{'x': []},95.0,0.0,"['Oxides', 'Cuprates']",,,10.1103/physrevb.83.100515
Cu 0.75 Mo 0.25 Sr 2 Y Cu 2 O 7.54,{},84.0,0.0,"['Oxides', 'Cuprates']",,,10.1103/physrevb.83.100515
La 1.84 Sr 0.16 Cu O 4,{},95.0,0.0,"['Oxides', 'Cuprates']",,,10.1103/physrevb.83.100515
Bi 2 Sr 2 Ca Cu 2 O 8,{},52.0,0.0,[],,,10.1103/physrevlett.90.207003
Mg B 2,{},39.0,0.0,"['Alloys', 'Borides']",,,10.31274/rtd-180813-16716
Bi 2 Sr 2 Ca Cu 2 O 8,{},80.0,0.0,[],,,10.1103/physrevb.69.024521
Na x Ta S 2,{'x': []},2.0,0.0,['Chalcogenides'],,,nan
Na x Ta S 2,{'x': []},4.2,0.0,['Chalcogenides'],,,nan
Na x Ta S 2,{'x': []},2.0,0.0,['Chalcogenides'],,,nan
Na x Ta S 2,{'x': []},2.0,0.0,['Chalcogenides'],,,nan
Na x Ta S 2,{'x': []},2.0,0.0,['Chalcogenides'],,,nan
Na x Ta S 2,{'x': []},4.2,0.0,['Chalcogenides'],crystals 2 K,,nan
Na x Ta S 2,{'x': []},4.2,0.0,['Chalcogenides'],,,nan
Na x Ta S 2,{'x': []},2.0,0.0,['Chalcogenides'],,,nan
Na x Ta S 2,{'x': []},2.0,0.0,['Chalcogenides'],,,nan
Na x Ta S 2,{'x': []},2.0,0.0,['Chalcogenides'],,,nan
Na x Ta S 2,{'x': []},4.2,0.0,['Chalcogenides'],,,nan
U Pt 3,{},0.5,0.0,['Alloys'],,,10.1103/physrevb.63.134502
Pu Co Ga 5,{},140.0,0.0,['Alloys'],,,10.1007/s10948-010-1052-x
Pu Rh Ga 5,{},8.7,0.0,['Alloys'],,,10.1007/s10948-010-1052-x
Y Ba 2 Cu 3 O 7,{},90.0,0.0,"['Oxides', 'Cuprates']",,,10.1007/s10948-010-1052-x
Y Ba 2 Cu 3 O x,{'x': []},93.0,0.0,"['Oxides', 'Cuprates']",,,10.1103/physrevlett.111.237001
Y Ra 2 Cu 3 O y,{'y': []},109.0,0.0,"['Oxides', 'Cuprates']",,,10.1103/physrevlett.111.237001
Ba Fe 2 As 2,{},29.0,2.8,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.79.214520
Ba (Fe 1-x Co x) 2 As 2,{'x': []},19.0,2.4,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.79.214520
Ba Fe 2 As 2,{},1.8,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.79.214520
La (O 1-x F x) Fe As,{'x': []},28.0,3.0,"['Iron-pnictides', 'Pnictides', 'Oxides', 'Fluorides']",,,10.1103/physrevb.79.214520
Hg Ba 2 Ca Cu 2 O 8,{},126.0,0.0,[],,,10.1023/b:josc.0000011842.21466.e5
Hg Ba 2 Ca 2 Cu 3 O 10,{},135.0,0.0,[],,,10.1023/b:josc.0000011842.21466.e5
Y Ba 2 Cu 3 O 7,{},5.0,0.0,"['Oxides', 'Cuprates']",,,nan
Hg Ba 2 Ca 2 Cu 3 O 8+δ,{'δ': []},134.0,0.0,['Alloys'],,,nan
Bi 2 Sr 2 Cu O 6,{},32.0,0.0,[],,,nan
Ba Fe 2-x Cu x As 2,{'x': []},2.0,0.0,['Alloys'],,,10.1103/physrevb.96.161106
Sr Fe 2-x Cu x As 2,{'x': []},2.0,0.0,['Alloys'],,,10.1103/physrevb.96.161106
Na Fe 1-x Cu x As,{'x': []},11.5,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.96.161106
Li C 6,{},8.1,0.0,['Carbides'],,,10.1103/physrevb.95.024505
Cu,{},4.0,0.0,['Alloys'],,,10.1103/physrevlett.118.227002
Cu x Bi 2 Se 3,{'x': []},3.0,0.0,['Chalcogenides'],,,10.1103/physrevlett.118.227002
Ba Ni 2 As 2,{},2.0,0.0,['Pnictides'],,,10.1038/s41567-019-0736-9
Bi 2 Sr 2 Ca Cu 2 O 8,{},77.0,0.0,[],,,10.1103/physrevlett.106.047002
Y Ba 2 Cu 3 O δ,{'δ': []},4.5,0.0,"['Oxides', 'Cuprates']",,,10.1103/physrevlett.106.047002
Mo Ge,{},7.05,0.0,[],thin films,,10.1103/physrevlett.122.047001
Mg B 2,{},39.0,0.0,"['Alloys', 'Borides']",,,10.1103/physrevb.75.214512
Ba 0.6 K 0.4 Fe 2 As 2,{},39.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1038/ncomms2428
Sm Fe As O,{},55.0,0.0,"['Iron-pnictides', 'Oxides', 'Pnictides']",,,10.1088/0953-2048/24/7/075024
Ba Fe 1.85 Co 0.15 As 2,{},25.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1209/0295-5075/83/67003
Ba 0.65 K 0.35 Fe 2 As 2,{},34.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1209/0295-5075/83/67003
Sm Fe As O 1-x F x,{'x': []},58.0,0.0,"['Iron-pnictides', 'Pnictides', 'Oxides', 'Fluorides']",,,10.1209/0295-5075/83/67003
Ba 0.6 K 0.4 Fe 2 As 2,{},38.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1209/0295-5075/83/67003
U Ru 2 Si 2,{},1.5,0.0,['Alloys'],,,10.1103/physrevb.79.214413
U Ru 2 Si 2,{},1.5,0.0,['Alloys'],,,10.1103/physrevb.79.214413
Y 1-x Ca x Ba 2 Cu 3 O 6.1,{'x': []},35.0,0.0,"['Oxides', 'Cuprates']",,,10.1103/physrevlett.88.037002
Mg (B 0.9 C 0.1) 2,{},22.0,0.0,"['Carbides', 'Borides']",,,10.1016/s0921-4534(03)00722-6
Mg B 2,{},7.0,0.0,"['Alloys', 'Borides']",,,10.1016/s0921-4534(03)00722-6
Mg B 2 C 2,{},22.0,0.0,"['Carbides', 'Borides']",,,10.1016/s0921-4534(03)00722-6
La 2-x Sr x Cu O 4,{'x': [0.07]},20.0,0.0,"['Oxides', 'Cuprates']",,,nan
La 1.93 Sr 0.07 Cu O 4,{},20.0,0.0,"['Oxides', 'Cuprates']",,,nan
Dy Rh 4 B 4,{},37.0,0.0,"['Alloys', 'Borides']",,,10.1016/j.physc.2016.02.024
Dy Rh 4 B 4,{},4.7,0.0,"['Alloys', 'Borides']",,,10.1016/j.physc.2016.02.024
Er Pd Bi,{},1.22,0.0,['Alloys'],,,10.1038/srep09158
Lu Pt Bi,{},1.0,0.0,['Alloys'],,,10.1038/srep09158
La Pt Bi,{},0.9,0.0,['Alloys'],,,10.1038/srep09158
Y Pt Bi,{},0.77,0.0,['Alloys'],,,10.1038/srep09158
Ce Pd Bi,{},1.3,0.0,['Alloys'],,,10.1038/srep09158
Lu Pd Bi,{},1.7,0.0,['Alloys'],,,10.1038/srep09158
Lu Pd Bi,{},1.7,0.0,['Alloys'],,,10.1038/srep09158
Bi 2 Sr 2 Ca Cu 2 O 8,{},76.0,0.0,[],single crystals,,10.1103/physrevlett.101.137003
Y Ba 2 Cu 3 O y,{'y': []},94.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/nphys2502
Mg B 2,{},39.0,0.0,"['Alloys', 'Borides']",,,10.1007/s10948-011-1146-0
Mg B 2,{},38.0,0.0,"['Alloys', 'Borides']",,,10.1007/s10948-011-1146-0
Al B 2,{},2.0,0.0,"['Alloys', 'Borides']",,,10.1007/s10948-011-1146-0
Mg B 2,{},39.0,0.0,"['Alloys', 'Borides']",,,10.1007/s10948-011-1146-0
Al B 2,{},38.0,0.0,"['Alloys', 'Borides']",,,10.1007/s10948-011-1146-0
Mg B 2,{},38.7,0.0,"['Alloys', 'Borides']",,,10.1007/s10948-011-1146-0
Mg Al 2 O 4,{},24.0,0.0,['Oxides'],,,10.1016/j.phpro.2013.04.084
Sr Ti O 3,{},24.0,0.0,['Oxides'],,,10.1016/j.phpro.2013.04.084
Bi 2 Sr 2 Ca 2 Cu 3 O 10,{},110.0,0.0,"['Oxides', 'Cuprates']",Single crystals,,10.1007/s00723-010-0176-2
Mg B 2,{},39.0,0.0,"['Alloys', 'Borides']",,,10.1103/physrevb.65.012505
Mg B 2,{},39.0,0.0,"['Alloys', 'Borides']",,,10.1103/physrevb.65.012505
Mg B 2,{},1.0,0.0,"['Alloys', 'Borides']",,,10.1103/physrevb.65.012505
Ba Zr O 3,{},25.0,0.0,['Oxides'],,,10.1063/1.4908257
Fe S Cs,{},4.2,0.0,"['Iron-chalcogenides', 'Chalcogenides']",,,10.1063/1.4908257
Sm Fe As (O F),{},54.0,0.0,['Alloys'],,,10.1063/1.4908257
Fe Se,{},8.0,0.0,"['Iron-chalcogenides', 'Chalcogenides']",,,10.1088/0953-8984/22/14/142202
Fe Se,{},37.0,0.0,"['Iron-chalcogenides', 'Chalcogenides']",,,10.1088/0953-8984/22/14/142202
Fe 1.1 Se 0.25 Te 0.75,{},8.6,0.0,"['Iron-chalcogenides', 'Chalcogenides']",,,10.1088/0953-8984/22/14/142202
Fe Te 0.5 Se 0.5,{},10.8,0.0,"['Iron-chalcogenides', 'Chalcogenides']",,,10.1109/tasc.2010.2086031
Fe Se,{},8.5,0.0,"['Iron-chalcogenides', 'Chalcogenides']",,,10.1109/tasc.2010.2086031
Fe Te 0.5 Se 0.5,{},3.2,0.0,"['Iron-chalcogenides', 'Chalcogenides']",,,10.1109/tasc.2010.2086031
Na 0.33 V 2 O 5,{},8.0,8.0,['Oxides'],,,10.1103/physrevb.69.140506
La Fe O P,{},5.0,0.0,"['Iron-pnictides', 'Oxides', 'Pnictides']",,,10.1103/physrevb.86.144519
Ba Fe 2 (As 1-x P x) 2,{'x': []},30.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.86.144519
Li Fe P,{},5.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.86.144519
Nb,{},9.2,0.0,['Alloys'],,,10.1103/physrevb.65.144509
Mg B 2,{},39.0,0.0,"['Alloys', 'Borides']",,,nan
Nb 3 Ge,{},23.4,0.0,['Alloys'],,,nan
Sr 2 Ru O 4,{},43.0,0.0,['Oxides'],,,nan
Bi 2 Sr 2 Ca 2 Cu 3 O 10+δ,{'δ': []},108.0,0.0,['Alloys'],single crystals,,10.1103/physrevlett.90.217002
Ru Sr 2 Gd 1.4 Ce 0.6 Cu 2 O 10,{},5.0,0.0,"['Oxides', 'Cuprates']",,,10.1117/12.466655
Eu 1.4 Ce 0.6 Ru Sr 2 Cu 2 O 10,{},45.0,54.0,"['Oxides', 'Cuprates']",,,10.1117/12.466655
Gd Ba 2 Cu 3 O 7,{},92.0,0.0,"['Oxides', 'Cuprates']",,,10.1117/12.466655
Gd 1.4 Ce 0.6 Ru Sr 2 Cu 2 O 10,{},34.0,0.0,"['Oxides', 'Cuprates']",,,10.1117/12.466655
Ba 1-x K x Fe 2 As 2,{'x': []},38.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevlett.109.097002
Ba Fe 2 (As 1-x P x) 2,{'x': []},31.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevlett.109.097002
Ba Ni 2 P 2,{},2.5,0.0,['Pnictides'],,,10.1103/physrevlett.109.097002
W O 3,{},91.5,0.0,[],,,10.1103/physrevlett.89.227002
La 1.8 Sr 0.2 Cu O 4,{},32.0,0.0,"['Oxides', 'Cuprates']",,,nan
La 1.8 Sr 0.2 Cu O 4,{},32.0,0.0,"['Oxides', 'Cuprates']",,,nan
Ta Se 2,{},0.1,0.0,['Chalcogenides'],,,10.1103/physrevlett.86.4382
Mg B 2,{},39.0,0.0,"['Alloys', 'Borides']",,,10.1016/s0921-4534(02)02317-1
Y B 6,{},5.9,0.0,"['Alloys', 'Borides']",,,10.1103/physrevb.90.045136
Y B 5.7,{},7.6,0.0,"['Alloys', 'Borides']",,,10.1103/physrevb.90.045136
Y B 5.9,{},6.6,0.0,"['Alloys', 'Borides']",,,10.1103/physrevb.90.045136
Y B 6,{},7.2,0.0,"['Alloys', 'Borides']",,,10.1103/physrevb.90.045136
Hg 0.8 Cu 0.2 Ba 2 Ca 2 Cu 3 O 8+δ,{'δ': []},134.0,0.0,['Alloys'],,,10.1016/j.physc.2004.02.183
Hg Ba 2 Ca 4 Cu 5 O y,{'y': []},108.0,0.0,"['Oxides', 'Cuprates']",,,10.1016/j.physc.2004.02.183
U Co Ge,{},3.0,0.0,['Alloys'],,,10.1103/physrevlett.99.067006
U Co Ge,{},3.0,0.0,['Alloys'],,,10.1103/physrevlett.99.067006
U Rh Ge,{},9.5,0.0,['Alloys'],,,10.1103/physrevlett.99.067006
Ba Fe 2 (As 0.72 P 0.28) 2,{},28.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.101.020507
Ba Fe 2 (As 1-x P x) 2,{'x': [0.3]},30.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.101.020507
Ba Fe 2 (As 0.72 P 0.28) 2,{},28.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.101.020507
Ba Fe 2 (As 1-x P x) 2,{'x': [0.3]},30.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.101.020507
Ba Fe 2 (As 1-x P x) 2,{'x': [0.3]},30.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.101.020507
Ca 0.73 La 0.27 Fe As 2,{},20.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.93.174513
Fe Te 0.55 Se 0.45,{},14.5,0.0,"['Iron-chalcogenides', 'Chalcogenides']",,,nan
Fe Se,{},0.4,0.0,"['Iron-chalcogenides', 'Chalcogenides']",,,10.7566/jpsj.86.083706
Mg B 2,{},40.0,0.0,"['Alloys', 'Borides']",,,10.1142/s0217984901001707
Zn N,{},8.8,0.0,['Nitrides'],,,10.1142/s0217984901001707
Hf N Cl,{},25.0,0.0,['Nitrides'],,,10.1142/s0217984901001707
Zr N Cl,{},15.0,0.0,[],,,10.1142/s0217984901001707
Zr N Cl,{},25.0,0.0,[],,,10.1142/s0217984901001707
C 60,{},52.0,0.0,['Carbides'],,,10.1142/s0217984901001707
Mg B 2,{},40.0,0.0,"['Alloys', 'Borides']",,,10.1142/s0217984901001707
Zr N Cl,{},15.0,0.0,['Nitrides'],,,10.1142/s0217984901001707
Mg B 2,{},40.0,0.0,"['Alloys', 'Borides']",,,10.1142/s0217984901001707
Mg B,{},40.0,0.0,"['Alloys', 'Borides']",,,10.1142/s0217984901001707
Mo N x,{'x': []},2.0,0.0,['Nitrides'],,,10.1109/tasc.2016.2519388
Y Ba 2 Cu 3 O y,{'y': []},80.0,0.0,"['Oxides', 'Cuprates']",thin films,,nan
H 2 S,{},190.0,170.0,"['Hydrides', 'Chalcogenides']",,,nan
H 2 S,{},190.0,190.0,"['Hydrides', 'Chalcogenides']",,,nan
H 2 S,{},190.0,180.0,"['Hydrides', 'Chalcogenides']",,,nan
H 2 S,{},100.0,0.0,"['Hydrides', 'Chalcogenides']",,,nan
Si H 4,{},17.0,113.0,"['Hydrides', 'Alloys']",,,nan
H 2 S,{},205.0,170.0,"['Hydrides', 'Chalcogenides']",,,nan
H 2 S,{},17.0,113.0,"['Hydrides', 'Chalcogenides']",,,nan
Bi 4 O 4 S 3,{},8.6,0.0,"['Chalcogenides', 'Oxides']",,,nan
La O Bi S 2,{},4.0,0.0,"['Chalcogenides', 'Oxides']",,,nan
Sr Sn 3,{},4.8,0.0,['Alloys'],,,10.1080/14786435.2012.682180
Ba Sn 5,{},4.4,0.0,['Alloys'],,,10.1080/14786435.2012.682180
Ba Sn 3,{},5.4,0.0,['Alloys'],,,10.1080/14786435.2012.682180
Ba Sn 5,{},4.4,0.0,['Alloys'],,,10.1080/14786435.2012.682180
Ba Sn 5,{},2.4,0.0,['Alloys'],,,10.1080/14786435.2012.682180
Sn,{},3.7,0.0,['Alloys'],,,10.1080/14786435.2012.682180
Mg 0.85 B 2 B,{},10.0,0.0,"['Alloys', 'Borides']",,,10.1103/physrevb.81.054520
Mg 1-x B 2,{'x': []},3.0,0.0,"['Alloys', 'Borides']",,,10.1103/physrevb.81.054520
Mg B 2,{},38.7,0.0,"['Alloys', 'Borides']",crystals,,10.1103/physrevb.81.054520
Mg B 2,{},0.55,0.0,"['Alloys', 'Borides']",crystals,,10.1103/physrevb.81.054520
K x Ba 1-x Bi O 3,{'x': []},40.0,0.0,['Oxides'],,,10.1142/s0217984995001686
Ce In 3,{},2.3,0.0,['Alloys'],,,10.1103/physrevb.84.064514
Ce Co In 5,{},2.3,0.0,['Alloys'],,,10.1103/physrevb.84.064514
Np Pd 5 Al 2,{},4.9,0.0,['Alloys'],,,10.1103/physrevb.84.064514
Ce Co In 5,{},4.9,0.0,['Alloys'],,,10.1103/physrevb.84.064514
Np Pd 5 Al 2,{},18.5,0.0,['Alloys'],,,10.1103/physrevb.84.064514
Pu Co Ga 5,{},0.2,0.0,['Alloys'],,,10.1103/physrevb.84.064514
Ce Co In 5,{},2.3,0.0,['Alloys'],,,10.1103/physrevb.84.064514
U Ru 2 Si 2,{},1.4,0.0,['Alloys'],,,10.7566/jpsj.85.033704
Hg Ba 2 Cu O 4+δ,{'δ': []},94.0,0.0,['Alloys'],,,10.1016/s0921-4534(03)01203-6
Bi 2 Sr 2 Ca Cu 2 O 8,{},85.0,0.0,[],single crystals,,10.1016/s0921-4534(00)00481-0
Bi 2 Sr 2 Ca Cu 2 O 8,{},91.0,0.0,[],,,10.1016/s0921-4534(00)00481-0
Sr Ti O 3,{},31.6,0.0,['Oxides'],,,10.1103/physrevmaterials.2.024801
Fe Se,{},8.0,0.0,"['Iron-chalcogenides', 'Chalcogenides']",,,10.1103/physrevmaterials.2.024801
Sr Ti O 3,{},8.0,0.0,['Oxides'],,,10.1103/physrevmaterials.2.024801
Hg Ba 2 Ca 2 Cu 3 O 8+y,{'y': []},160.0,31.0,['Alloys'],,,10.1007/s10948-016-3489-z
Sr 0.9 La 0.1 Cu O 2,{},40.0,0.0,"['Oxides', 'Cuprates']",,,10.1007/s10948-016-3489-z
La 2-x Ce x Cu O 4,{'x': []},30.0,0.0,"['Oxides', 'Cuprates']",,,10.1007/s10948-016-3489-z
Fe Se,{},109.0,0.0,"['Iron-chalcogenides', 'Chalcogenides']",films,,10.1103/physrevb.97.174509
Fe Se,{},8.0,0.0,"['Iron-chalcogenides', 'Chalcogenides']",Bulk,,10.1103/physrevb.97.174509
Fe Se,{},60.0,0.0,"['Iron-chalcogenides', 'Chalcogenides']",,,10.1103/physrevb.97.174509
Sr Ti O 3,{},8.0,0.0,['Oxides'],,,10.1103/physrevb.97.174509
Fe Se,{},60.0,0.0,"['Iron-chalcogenides', 'Chalcogenides']",ultrathin,,10.1103/physrevb.97.174509
Sn,{},3.68,0.0,['Alloys'],,,10.1016/j.physc.2019.1353511
Ba Ti O 3,{},0.15,0.0,['Oxides'],,,10.1016/j.physc.2019.1353511
Y Ba 2 Cu 3 O 7,{},90.0,0.0,"['Oxides', 'Cuprates']",,,nan
Nb Ti,{},25.0,0.0,['Alloys'],,,nan
Bi 2 Sr 2 Ca Cu 2 O 8,{},85.0,0.0,"['Oxides', 'Cuprates']",,,nan
Bi 2 Sr 2 Ca Cu 2 O 8,{},35.0,0.0,"['Oxides', 'Cuprates']",,,nan
(Bi Pb) 2 Sr 2 Ca 2 Cu 3 O 10,{},110.0,0.0,['Alloys'],,,nan
Mg 2,{},20.0,0.0,['Alloys'],,,nan
Mg B 2,{},39.0,0.0,"['Alloys', 'Borides']",,,nan
Mn,{},0.8,0.0,[],,,10.1002/9783527620548.ch4b
Mn,{},0.8,0.0,[],,,10.1002/9783527620548.ch4b
Fe Te,{},9.0,0.0,"['Iron-chalcogenides', 'Chalcogenides']",,,10.1103/physrevlett.104.057003
Sr 3 Ir 4 Sn 13,{},5.0,0.0,['Alloys'],,,nan
Ca 3 Ir 4 Sn 13,{},7.0,0.0,['Alloys'],,,nan
Yb C 6,{},6.5,0.0,['Carbides'],,,10.1380/jsssj.38.460
Ca 1-x Na x Fe 2 As 2,{'x': []},7.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.89.174512
Nd 2 Cu O 4,{},29.0,0.0,"['Oxides', 'Cuprates']",,,10.1016/j.physc.2009.05.100
Mg B 2,{},39.0,0.0,"['Alloys', 'Borides']",,,10.1007/bf02724515
Li Fe As,{},17.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.94.134515
Al 96 Si 4,{},3.0,0.0,['Alloys'],,,10.1088/1367-2630/16/4/043008
Ba Ti 2 Sb 2 O,{},5.4,0.0,['Oxides'],,,10.1103/physrevb.89.094505
Ba Ti 2 Sb 2 O,{},1.0,0.0,['Oxides'],,,10.1103/physrevb.89.094505
Ba 0.85 Na 0.15 Ti 2 Sb 2 O,{},4.2,0.0,['Oxides'],,,10.1103/physrevb.89.094505
Ba Ti 2 Sb 2 O,{},5.5,0.0,['Oxides'],,,10.1103/physrevb.89.094505
La Fe As O 1-δ F δ,{'δ': []},29.0,0.0,"['Iron-pnictides', 'Pnictides', 'Oxides', 'Fluorides']",,,10.1016/j.crhy.2015.03.001
Sm Fe As O 1-δ,{'δ': []},55.0,0.0,"['Iron-pnictides', 'Oxides', 'Pnictides']",,,10.1016/j.crhy.2015.03.001
Ba Fe 1.85 Co 0.15 As 2,{},25.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1016/j.crhy.2015.03.001
Ca Fe 1-x Co x As F,{'x': []},22.0,0.0,"['Iron-pnictides', 'Pnictides', 'Fluorides']",,,10.1016/j.crhy.2015.03.001
Fe Se,{},100.0,0.0,"['Iron-chalcogenides', 'Chalcogenides']",thin films,,10.1016/j.crhy.2015.03.001
La Fe As O,{},26.0,0.0,"['Iron-pnictides', 'Oxides', 'Pnictides']",,,10.1016/j.crhy.2015.03.001
Fe Se,{},8.5,0.0,"['Iron-chalcogenides', 'Chalcogenides']",,,10.1016/j.crhy.2015.03.001
(La Pr) Fe As O 1-δ F δ,{'δ': []},75.0,0.0,['Alloys'],,,10.1143/jpsj.77.103705
Ba Fe 1.8 Co 0.2 As 2,{},22.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1143/jpsj.77.103705
Ba Fe 2 As 2,{},22.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1143/jpsj.77.103705
U Ge 2,{},0.95,1.3,['Alloys'],,,10.1088/1742-6596/150/5/052218
Er Ni 2 B 2 C,{},11.0,0.0,"['Carbides', 'Borides']",,,10.1088/1742-6596/150/5/052218
Ho x Mo 6 S 8,{'x': []},1.8,0.0,['Chalcogenides'],,,10.1088/1742-6596/150/5/052218
Er Rh 4 B 4,{},8.7,0.0,"['Alloys', 'Borides']",,,10.1088/1742-6596/150/5/052218
U Rh Ge,{},0.27,0.0,['Alloys'],,,10.1088/1742-6596/150/5/052218
Mg B 2,{},39.0,0.0,"['Alloys', 'Borides']",,,10.1103/physrevb.64.172515
Mg B 2,{},1.0,0.0,"['Alloys', 'Borides']",,,10.1103/physrevb.64.172515
Mg B 2,{},37.5,0.0,"['Alloys', 'Borides']",,,10.1103/physrevb.64.172515
Tl 2 Ba 2 Cu O 6+δ,{'δ': []},10.0,0.0,['Alloys'],,,10.1103/physrevb.82.140501
Tl 2 Ba 2 Cu O 6,{},30.0,0.0,[],,,10.1103/physrevb.82.140501
Tl 2 Ba 2 Cu O 6,{},10.0,0.0,[],,,10.1103/physrevb.82.140501
Pd Te 2,{},2.15,0.0,['Chalcogenides'],,,10.1103/physrevmaterials.3.114202
Fe Se,{},109.0,0.0,"['Iron-chalcogenides', 'Chalcogenides']",single,,10.1103/physrevb.92.174517
Ca Co 2 As 2,{},70.0,0.0,['Pnictides'],,,10.1103/physrevb.92.144416
Y Ba 2 Cu 3 O 7-δ,{'δ': [0.06]},92.0,0.0,"['Oxides', 'Cuprates']",,,10.1103/physrevb.75.014513
Y Ba 2 Cu 3 O 7-δ,{'δ': [0.06]},92.0,0.0,"['Oxides', 'Cuprates']",single crystals,,10.1103/physrevb.75.014513
Y Ba 2 Cu 3 O 7,{},92.0,0.0,[],,,10.1103/physrevb.75.014513
Bi 2 Sr 2 Cu O 6,{},20.0,0.0,"['Oxides', 'Cuprates']",,,nan
Mg B 2,{},10.2,0.0,"['Alloys', 'Borides']",,,10.1016/j.physc.2005.08.007
Mg B 2,{},18.0,0.0,"['Alloys', 'Borides']",,,10.1016/j.physc.2005.08.007
Mg B 2,{},2.0,0.0,"['Alloys', 'Borides']",,,10.1016/j.physc.2005.08.007
Pu Co Ga 5,{},18.5,0.0,['Alloys'],,,10.1103/physrevb.92.155140
Ce Ir In 5,{},0.4,0.0,['Alloys'],single crystal,,10.1103/physrevb.85.060505
Ce Ir In 5,{},0.4,0.0,['Alloys'],,,10.1103/physrevb.85.060505
La Fe As O 1-x F x,{'x': [0.6]},41.0,0.0,"['Iron-pnictides', 'Pnictides', 'Oxides', 'Fluorides']",,,10.1016/j.ssc.2008.07.032
La Fe As O 1-x F x,{'x': [0.6]},41.0,0.0,"['Iron-pnictides', 'Pnictides', 'Oxides', 'Fluorides']",,,10.1016/j.ssc.2008.07.032
La Fe As O 1-x F x,{'x': []},26.0,0.0,"['Iron-pnictides', 'Pnictides', 'Oxides', 'Fluorides']",,,10.1016/j.ssc.2008.07.032
La Fe As O 1-x F x,{'x': [0.6]},41.0,0.0,"['Iron-pnictides', 'Pnictides', 'Oxides', 'Fluorides']",,,10.1016/j.ssc.2008.07.032
Li x Zr N Cl,{'x': []},14.2,0.0,['Nitrides'],,,10.1103/physrevb.69.134522
Zr N Cl,{},25.5,0.0,['Nitrides'],,,10.1103/physrevb.69.134522
Hf N Cl,{},25.5,0.0,['Nitrides'],,,10.1103/physrevb.69.134522
Zr N Cl,{},15.0,0.0,['Nitrides'],,,10.1103/physrevb.69.134522
K 2 Cr 3 As 3,{},8.0,0.0,['Pnictides'],,,10.1209/0295-5075/113/37003
Na 2 Cr 3 As 3,{},8.0,0.0,['Pnictides'],,,10.1209/0295-5075/113/37003
